job_title,company_name,location,salary,salary_type,job_description,job_tags,job_url
Sr. Data Scientist,Putnam Recruiting,Remote,,Not Listed,"About the job We’re hiring for a Senior Data Scientist who is a skilled specialist in Large Language Models (LLMs) and deep learning modeling, with a highly curious and adaptable mindset, driven by an entrepreneurial spirit. Must Haves: Master’s degree with 5 years...","Full time, Temporary work",https://jooble.org/jdp/6971797362826835203?ckey=data+scientist&rgn=55157&pos=30&groupId=1077&elckey=-2326180655601267528&pageType=20&p=1&sid=-2531949656953212372&jobAge=525&relb=100&brelb=100&bscr=14136.421354022857&scr=14136.421354022857&searchTestGroup=1_2_1&iid=3140808670034462008
"Senior Data Scientist, Growth Analytics",Airwallex Pty Ltd.,"San Francisco, CA",,Not Listed,"your career as we build the future of global banking. If that sounds like you, let’s build what’s next. We’re seeking a senior Data Scientist to partner closely with the Marketing team to derive actionable data‑driven insights and to directly impact business outcomes.","Local area, Worldwide",https://jooble.org/away/-793093898326537804?p=1&pos=31&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=106&relb=10&brelb=10&scr=14091.148771177639&bscr=14091.148771177639&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=6862375051536351341
"Senior Data Scientist, Finance",Brex Inc.,"San Francisco, CA",192000.0,yearly,"Senior Data Scientist, Finance San Francisco, California, United States Senior Data Scientist, Finance Why join us Brex is the AI-powered spend platform. We help companies spend with confidence with integrated corporate cards, banking, and global payments, plus...","Work at office, Remote work, Work from home, 3 days per week",https://jooble.org/away/-7395620686138909815?p=1&pos=32&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=82&relb=10&brelb=10&scr=14081.973224782016&bscr=14081.973224782016&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=3828098336692804486
Data Center Optical Engineer,NextGen | GTA: A Kelly Telecom Company,"Atlanta, GA",,Not Listed,"Data Center Optical Engineer/Installation Locations: Atlanta, GA | Chicago, IL | Denver, CO | San Jose, CA | Los Angeles, CA | Dallas/Fort Worth, TX | Reston, VA Position Summary We are seeking a highly skilled Data Center Optical Engineer to support the...","For contractors, Local area, Remote work, Night shift, Weekend work",https://jooble.org/away/9026037104652011448?p=1&pos=33&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=34&relb=10&brelb=10&scr=14043.864635692587&bscr=14043.864635692587&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=-2812517882363666935
Data Scientist,Thirdwave,Remote,,Not Listed,"their destiny. We connect people to the projects, games, and communities they love. Thirdwave is looking for a highly skilled Data Scientist to join our team. Our ideal candidate is someone with a strong analytical mindset, capable of leading advanced data analytics...","Remote job, Full time, Home office, Flexible hours",https://jooble.org/desc/9026253168546760175?ckey=data+scientist&rgn=55157&pos=34&groupId=1077&elckey=-2326180655601267528&pageType=20&p=1&sid=-2531949656953212372&jobAge=442&relb=110&brelb=110&bscr=14043.130442809737&scr=14043.130442809737&searchTestGroup=1_2_1&iid=-9095490120674332212
"Senior Data Scientist, Real-Time Bidding",Trellisconnect,"New York, NY",,Not Listed,"exceptional teammates, you’re going to love doing your best work at Trellis. About the Role Trellis is hiring a Senior Data Scientist to drive exploratory analysis and model development for data‑scarce and emerging problems in our Real‑Time Bidding (RTB) and pricing...","Remote work, Home office, Flexible hours",https://jooble.org/away/4679623759373721128?p=1&pos=35&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=10&relb=10&brelb=10&scr=14031.83544499976&bscr=14031.83544499976&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=-6705602775813930663
Senior Data Scientist [Remote-US],Get Furniture Jobs,"San Francisco, CA",,Not Listed,"backing of leading insurer, State Farm. Learn more about us and our work at quanata.com. The role: We’re looking for a Senior Data Scientist to be the strategic anchor for a functional team. You won't just be building models; you'll be a key influencer who translates...",Remote work,https://jooble.org/away/1455494123163837581?p=1&pos=36&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=106&relb=10&brelb=10&scr=14016.614031315803&bscr=14016.614031315803&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=7337433355547985234
Remote Data Entry Specialist,Hope Grows Corp,Remote,,Not Listed,class lawn/landscaping services to the north side of Indianapolis and surrounding suburbs. We are seeking a detail-oriented Remote Data Entry Specialist to join our team. The ideal candidate will be responsible for accurately entering data into our systems from...,"Remote job, Full time",https://jooble.org/desc/6009075339944214435?ckey=data+scientist&rgn=55157&pos=37&groupId=1077&elckey=-2326180655601267528&pageType=20&p=1&sid=-2531949656953212372&jobAge=442&relb=110&brelb=110&bscr=13891.958762002505&scr=13891.958762002505&searchTestGroup=1_2_1&iid=8811111803683832664
Commissioning Engineer (Data Centers) (Morristown),Jobot,"Morristown, NJ",100.0,hourly,"calls, text messages, or emails from Jobot, and/or its agents and contracted partners. Frequency varies for text messages. Message and data rates may apply. Carriers are not liable for delayed or undelivered messages. You can reply STOP to cancel and HELP for help.","Hourly pay, Full time, Temporary work, Part time, Locum, Local area, Flexible hours, Shift work, Night shift, Weekend work, Day shift, Weekday work",https://jooble.org/away/-1362472984615557458?p=1&pos=38&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=8&relb=10&brelb=10&scr=13863.997330245376&bscr=13863.997330245376&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=7572106320965563199
Lead Data Scientist,Arcadia,United States,146250.0,yearly,"Who We Are Arcadia is the global utility data and energy solutions platform. With our leading data platform, AI-powered analytics. We are seeking an innovative and results-oriented Lead Data Scientist with a strong understanding of machine learning, generative AI,","Remote job, Full time, Local area, Flexible hours",https://jooble.org/desc/-7976791853068801622?ckey=data+scientist&rgn=55157&pos=39&groupId=1077&elckey=-2326180655601267528&pageType=20&p=1&sid=-2531949656953212372&jobAge=10&relb=110&brelb=110&bscr=13744.31873907954&scr=13744.31873907954&searchTestGroup=1_2_1&iid=3265283325050498419
Lead Data Scientist,American Public Education,United States,,Not Listed,"Lead Data Scientist American Public Education, Inc. The Lead Data Scientist is a crucial team member within American Public Education, Inc’s (APEI) enterprise Data & Analytics team. This role is pivotal for the company’s growth journey with advanced analytics, including...","Full time, Remote work",https://jooble.org/desc/-7031938491863452800?ckey=data+scientist&rgn=55157&pos=40&groupId=1077&elckey=-2326180655601267528&pageType=20&p=1&sid=-2531949656953212372&jobAge=10&relb=110&brelb=110&bscr=13700.633751289&scr=13700.633751289&searchTestGroup=1_2_1&iid=-7343371057091697967
